Difference of "all_files" between "b1.6.6" and "b1.7".
Changed file "cc.class" from "ef0fb9936d39ae5a39d00e4e79b50b0ac9395f8c" to "977c593de30bdab2a0a2f14ce6970f6f2898e88c".
Changed file "cd.class" from "575d27ec8c74d4e166734029155ef8d0bbab2dfa" to "9a75adde3357422fbf067a397398d6a89faf96af".
Changed file "ce.class" from "911c27a8acbe89c1fc4511fd3a95410ea7da9605" to "1b4d79a7bd42f7e24cd742f5e9a770a331a803ab".
Changed file "cf.class" from "f7697afeb0369352ce9ee0e9838e9d09bef7d7d2" to "84f385dbcbf6f1221394d6359eb40fda80655497".
Changed file "cg.class" from "d34dbcdef2ee88d6e00974cf686a0a03124ec04b" to "7e00e0b2edf09500bba3ef8f63794463ea64e8b1".
Changed file "ch.class" from "4c48a60f5c0e4a28b87de4b1e965b8742bcdae85" to "f6eb32c748f934befdaf5ebc4996f29b8ec22daa".
Changed file "ci.class" from "a81c15975533c73cad38a8391b7aae2fe35f1511" to "a515e70f609dbf1778615485b0e1f91c29aeb44f".
Changed file "cj.class" from "da963a9b27dcc8e53f92bef3bb1e3196c77843df" to "dbf54e613f13abe42f4fea60431587826453672e".
Changed file "ck.class" from "77dc73ae401753b13151623381e7d5dbb4812613" to "44833a97c72a94c54d68049866b225510bc8ade9".
Changed file "cl.class" from "1a6396b900c4f81430e46922027a23eb1a8b6315" to "af4866c9a2dffdf2a8bd7b0e09f8e834ff823dbc".
Changed file "cm.class" from "79969ed590b120f3ffcb0a9a8e8f6cfb6b73535e" to "3e1fc4e4f9e5fee6ad6642709b35515d9090dc97".
Changed file "cn.class" from "4d2cef7c12c7cb3a906ce9c9538a45b0e5222867" to "d800503401c38f7812ac33e937d1c10887f62445".
Changed file "co.class" from "20f10101c37b6122fa12a89112a684a775c18ab8" to "61dee6bda1613d3e8138d3313a6f90fa19dc282a".
Changed file "com/jcraft/jorbis/Floor0.class" from "1ade123cf47c0c1f77118a144b653488b487bcd7" to "2f7a91aa76a406debffe5db376e01065a8fc55bb".
Changed file "com/jcraft/jorbis/StaticCodeBook.class" from "325ee9f3cad8ff2454ea60486cd0173ad3cd24ec" to "2003892fc5c064463e8ce47a88fc32c29cbd7543".
Changed file "cp.class" from "70ac86abb5afe26090f707620c3ca3d3faeb7ac5" to "5cdb377f9ad55deff83b29feffccae6262146e5e".
Changed file "cq.class" from "012bd2939bc87649840aa574a3fc32fa10c2b6ef" to "3b64b208034c01e176616a9d1956200a8ac098ff".
Changed file "cr.class" from "32d795e1daf1cb288e8050d26ff4ac1de037c5cf" to "90e579f24f7bb0987d8e4a2561713f28029557d9".
Changed file "cs.class" from "bf8de52b91e31a0a92ce3d07d98d2ca86722a83e" to "06da9539ba1d097bc13cb24076aa69f995133f51".
Changed file "ct.class" from "4eb3e4d128f552f6d0d0dfbe90eebd308768267d" to "8c47445a4239a17301e692ffd386ffce2e49bbca".
Changed file "cu.class" from "db05c53b3b950a51113996c0850825ef4460aa5f" to "c67cf99f565eb72cfcbd9e529099bc69a7fceae9".
Changed file "cv.class" from "931a1f66c5b814b645947c3ccaf9203c52260c34" to "a1fdd44c2625a4c9563e7084148612e7f18971b4".
Changed file "cw.class" from "ddc981fcf1a5c9cb26575db775554d01a0fd0d80" to "df7a5568bfd7513ca3d9163f1a6398fd40b5caa5".
Changed file "cx.class" from "c2e55bb2e4393977898672764bad9404571c354e" to "5b266bb552d1d46bad659336dcc04456d806ff77".
Changed file "cy.class" from "fc064b294487ab28fe7023063519280031de9aee" to "2add07c0ff1fa1bf0cf1e489804989ec0c883bbd".
Changed file "cz.class" from "85f2202d7acd6e59fd3ed0cb8fcde97daa78a40e" to "a48646c0658f5b7c0c221aba41494430d659f16e".
Changed file "d.class" from "13f4e2a0281839fea1cedfbed8259dc1187cb097" to "04da1e30ee218534878f50a9535e590938cc7147".
Changed file "da.class" from "14b36f42f5e4b1b682a1732f33136043eb148c04" to "49ac529effb76baf955159ca61c0efd47b206cad".
Changed file "db.class" from "334b99ea6cd41c9d4c1880effb5f24301f8761ab" to "1f59a8ed82a40b5bf0d1347545ee46ba52b84ee5".
Changed file "dc.class" from "ae5e2a163ff756388ceb8d1fa5907f973ab07a12" to "15133a8a459b2cbfbfc9760ff21a337e28ab7b29".
Changed file "dd.class" from "53953f0f8e6e16d093f31113eba9b5a637a6cf58" to "700c5af92ff61308528bd521f2952f8d1099d64c".
Changed file "de.class" from "410c30470b27dadf7ddb74f84195f47c6c0a3265" to "0dd5bcf1c1c207a3693aaebd53edbfe480e0f885".
Changed file "df.class" from "9763b3f03e32f2f0f89728f8f8800e643c367089" to "57ea8e38ecc4530e02d8cb1a4972334fd279c9a8".
Changed file "dg.class" from "e5e8e0e7ac9472dd0060bd054c2db1a531f8f553" to "94f4ac9827e7eddcf6315df5e99feb1443abe996".
Changed file "dh.class" from "2e5f9bb6703168026ddd663f66ebc6c7ed499691" to "d561a641d2f34241c03286385b65912486a20be6".
Changed file "di.class" from "e378b67b37111c0b5bb1096fee7e4ce89f250c1f" to "28b3e6eb637bb228da9e8c295459bd06dc84732c".
Changed file "dj.class" from "b8e0984b354ab642903df19a164fbb069a5212bc" to "eacbadf1a420b91a992e4656f542b5bc8df668f3".
Changed file "dk.class" from "9dd4e095363fe9c6f7a31954179073fe06dc3fff" to "4c36e287ef0c35b6dd76356874d51ca66177a688".
Changed file "dl.class" from "a7e3442a95ef91565542f112de3ecfabc2accb57" to "233dc3d4118058b5b8a4accdedb8e99bba3cf698".
Changed file "dm.class" from "d72bd39e2431fb3728bde49be352200beeafdfd2" to "709b7007b4ef533a63296ad9cd7c24aef01a42d4".
Changed file "dn.class" from "52cb65b37215acceba86173f63289206f7bc1d3e" to "b7527fc37e832c4d36f7fc6df1751a40ce8163b2".
Changed file "do.class" from "ba57c4005f7a7479a367652a5953c0d1f08b5fd1" to "35afdd615742aa2abab9afd995a1db1a08859c1c".
Changed file "dp.class" from "4f125a187bcd2a671ae7d3ad7c01a3df3bb54103" to "7114d290bd1221abb0189c88c14174db44327ebb".
Changed file "dq.class" from "4934bfa9360c152c7bd1c730879998dd16282297" to "4aa3e666abe90df4b8c294f5f4c46709dc22611f".
Changed file "dr.class" from "e37c7db0e15744f2cc7c15954e70ad01b642d467" to "9db4edcc9f65f434117204be8a218e561f586dbf".
Changed file "ds.class" from "3c812e90c8029216ac1fd7a4598a08c69f483342" to "e5223b93385976f361bc647447c9d4c89a930967".
Changed file "dt.class" from "e7be10a0383b858c43060285f345119dbbec35dd" to "2017daf70c175fe57f4436f94cc654ce223d1c12".
Changed file "du.class" from "a2cde5becb6a7892bc50ba082e05ef8933654e02" to "dc998db2881d7ff09009335df8aa30330bdd1c1c".
Changed file "dv.class" from "d338c419c9922b18670567ce09f327daf57b0f38" to "18a047db707259b105b70b7868b9e41c2d377c00".
Changed file "dw.class" from "e578c6bc2cef5508005e59c433f4918def7778ac" to "c96b755f062f069fdba8a2d4ba4f7bb6cd200b80".
Changed file "dx.class" from "0f09f323fe0f00483703aa74575d18019481d36e" to "0b2731b7616f7ba73204f5e28f9ea29645f52d1a".
Changed file "dy.class" from "514e724e0d5277f3879caab8930a95d93361de54" to "b99b9a3805808b8c9767cafe18ac504634fc2818".
Changed file "dz.class" from "89b6525c35099ba3c5db05f04b4e7db0ca065755" to "3f5005e9e234b2e5151894539757ea8ee8f1c59d".
Changed file "e.class" from "67324c9c9325c7afd1dcf52a8d2477a4afabf14b" to "1061736ee965b4b7cde1dcbe48ed4a88d9d5b0f1".
Changed file "ea.class" from "c5df914f9a1c00a0ffde9c07c282cc1c908f3181" to "4df3044a7dd9cc3fc5149bb1fb1352f9266b56bd".
Changed file "eb.class" from "cc741ffb06195e8013ee6d8c603953d1588d30d6" to "22659d456d2df6a3e5a1cb7671c2f525091ea6e6".
Changed file "ec.class" from "7f5328df4b0698c5cb58c3b83c3da49441aa405e" to "a4ece5d3dfa5245e679c4bb423475f35ca71c6c6".
Changed file "ed.class" from "3aaf6ea501959c907c7436d7f8ccd2a77be1be89" to "692e75b5d05abe6c1dffa7c2dd83ad06183299dd".
Changed file "ee.class" from "e126bd77e00b4138f8547f3fa264fd935fbf5e33" to "1cd06d5ca0d7f990642569ec5737bab0d81a89ff".
Changed file "ef.class" from "7a9f58ab24bbad5330b9f6e537c8b74b06a6ea46" to "52f99bf9ba19eddc30cc11e21a143c2ab71e48f3".
Changed file "eg.class" from "883e05145d57365133d7849cfd92e874d5bb1f21" to "500856d78d35565557591879158a0a296c9c7a95".
Changed file "eh.class" from "32d61ba16c56a5b490f20b691eb1440a96bc1e2b" to "60b94e1ba1f8acafb805529f4f41631a906e544e".
Changed file "ei.class" from "19191adfd93616e472b281d343708d92c2a16d45" to "62c00162d0993548c0cbdbf043f50ffbadc9aef3".
Changed file "ej.class" from "e129e6d3fe67d7a230a82c7bb7ab85b523cd6fed" to "0168c301f101d7b67c0b6bfa518ebc3b8322faee".
Changed file "ek.class" from "bf7f2ea8a91e451f6775701ed157bda9b19e4e0a" to "abf1726f227ec708f6e8bd83aee875bcd666d66d".
Changed file "el.class" from "e65e87222047589450ae7e73ecb266958692c5ce" to "7413f8c2342ccf7967f40edd46100887092f8553".
Changed file "em.class" from "160ce88690c9b48016ce02655b4f3cf99eb27845" to "0291a27873cca22ab90ce23ca3a5ca60aa843e44".
Changed file "en.class" from "2e150b54d5e471c66c0dc162e1a74bb40aeaed67" to "d03f6907bd334138804c9b1bac898aa5793e2016".
Changed file "eo.class" from "423337fc53edb1dd829d03addf7a00d2410e1c4a" to "f6c0859c8b1de2cf592c00dea2475ee4336404ae".
Changed file "ep.class" from "31be87078939ee41b212b25c1b4619f77320152b" to "eae9ece8d81207544a45fcfbc58ce2857e52b6cf".
Changed file "eq.class" from "bba568f8d8fac2e0e38185b51e95fe6d05e4d118" to "560eccb3a0387421c30bfcfeace4a439c0f5317b".
Changed file "er.class" from "482b933b5e3b5e68de9edd91f37ea03ec835ba26" to "2351c4791d801b9e6f32ea25951dfca07e27e167".
Changed file "es.class" from "691d37c2c2ab256db4d1720172240f2bb4568cf1" to "0adcbe851ade069b35366982818ba84e52ed3a2e".
Changed file "et.class" from "b033f583344d570cf9a1df403fd4a49ff4bbdbb0" to "1bf2a411663848eae59930a482ffc4d5447b782e".
Changed file "eu.class" from "a25624927117df3cf2a73e9bbe5d0617a6bdf22b" to "2088824f55c380919bf4572bbd5b46b7c971d46f".
Changed file "ev.class" from "0dd464a386afab503e645b2742889f3b527a0834" to "9c80851c6493f65f89a1db3ede8147222922ab24".
Changed file "ew.class" from "b44efbb124c5abf4d9fc2e00284823868a9581fc" to "ee5a23fb8a363c46aadbbe4bec9aa55ee90e04ec".
Changed file "ex.class" from "c3b1a020bc1e69914433a8ebd32b64cbdadbd648" to "2f9df12bad35f97d9e2502c522a46a8b9b1377be".
Changed file "ey.class" from "f6b8786537eee1bb51bc38bf56f8defc44b27c09" to "113dc1b89944702bdba9ee133cb57baead5e2a92".
Changed file "ez.class" from "e6ad8e1c041667b52e168f2d9e7e4c4952356384" to "def25bee2e4c82dd2e8683267657d17a0e042400".
Changed file "f.class" from "477fd208c62c7f74ce57274b85209c976b18b5d9" to "f7cc1ed1fa1451933318c7ee4dc5a919df74c743".
Changed file "fa.class" from "1897e3b691192cb5a09b36962a09f58b822c58c7" to "1c779591a4c4eed832210df0dc7fe9c82e2b0e30".
Changed file "fb.class" from "e55826d81c4049aa8d39859c1d23a2e5abf03869" to "dcdba2419a5fa11227eab1c421446fb0017af3a9".
Changed file "fc.class" from "04b6012d98cce6879ee79e429f4a1ef470b8f437" to "4fac2321bd8e1120d868613c5f5bc0de27bdf21a".
Changed file "fd.class" from "86d482fd0e07599f7d7c24e014b59c08ec00078d" to "d853e3cecac2cee4fa883e69f98b15c5be40b5ed".
Changed file "fe.class" from "2f02c464cb2086a3c0d3dd1213c01de61747ae0f" to "557e04df0cdac01c448f9e571c8ad5e7efb547df".
Changed file "ff.class" from "4c4bf9d7622a3a38dcb00441d840cb070010a682" to "04513b1bdb0db51f20fbf96a1d7c1996a8bf44f0".
Changed file "fg.class" from "c9b1a6b74e4f7f7cb86720ebba5eb9cf4dd53638" to "ec8deafd988c239e70901265306174bd41383d83".
Changed file "fh.class" from "33a910cedb5aa0016193e3b7ed146f1c58995f3a" to "532c92ec71189cd6619a4c0a6487bea66693ae03".
Changed file "fi.class" from "f2fc02d9ea94790b6075d7a5c2bdd083f7b302ac" to "395c800dbf79b0676a54433f0d152ed433af562d".
Changed file "fj.class" from "8d11da949f23b8a1bd9df17ea19dd04f2ac890dd" to "0e5cb32143ad87d011531988bcbad522264312f2".
Changed file "fk.class" from "16c311cb0587d931f6344564c3c409ba0bd8b513" to "7a7d1fda7dfd05ad384676a3a3a38a02567612c9".
Changed file "fl.class" from "3ce21127571824a189a6d45ff993b771c868b2f0" to "5ed3ca39bc7be250ca1e504b3fc70d28faed654c".
Changed file "fm.class" from "a8b83cafc35271873897a9d2dd175b5e49e2e55f" to "100c74b5911dd130c53563ffd5eaeea5ae96857a".
Changed file "fn.class" from "28937e0198e029ff8d7b41cbac1a33082e9aa495" to "6591ff7f20d4776f13c6fdb02088e0b9de2f8b77".
Changed file "fo.class" from "1a63fc235c5c47d3756819c2fc62f80dc7009115" to "55065d48b6b4a5645539dd2eaefe40a76dd403a4".
Changed file "fp.class" from "375ab9715c3d3bdf2181d4d0c84b2a8afeacba36" to "2b60baa8f90e5482aa9a89d83e22911eae7b3142".
Changed file "fq.class" from "e25ff67e3fa6fee666664e60a59def01868ea741" to "4623168b40afdcbda8239ac33308eb8aa90a34bd".
Changed file "fr.class" from "78701b4ab86c9e982cc788016928174aef01fda4" to "ebf7c78327ab878c02a71c1cb06e5b0d1245e632".
Changed file "fs.class" from "1580c6ccc0b28077371393325c4cec27bd787d9a" to "9c0b18ee5da21d2b41f72711fa594f5153d06f18".
Changed file "ft.class" from "95519a4e22520aa9e74e61e4405fe7b533fe99e2" to "2fd6856813c596d573b3f69b67279e101190143d".
Changed file "fu.class" from "a41aec34544c4ca1b7a6d257dd69f38e50defd61" to "8ad9873a038b7ff74e8ef23502a66c0cb41442a0".
Changed file "fv.class" from "608339d8dcfd4e926febd93aa6f617d7beae6a30" to "3b9d960165df6b045c3d11e67edfab9b597358d9".
Changed file "fw.class" from "f8f903b0d929a1f154d1338b553146d67baf18da" to "b882e793f3df38996ae18cc43ee824d2ec79eb71".
Changed file "fx.class" from "fb0d840381e0d5a5f14edeb350caa0d2e0fe1265" to "d758e26cc6a4eb7861d8ac3b3ae1372172b52736".
Changed file "fy.class" from "50bd4018f47db64f8841d619e1e64a661e6b9d7a" to "c5ee0bb518d3172c926706cb2fde10fbd4ebe38b".
Changed file "fz.class" from "760528324e693cf6924dfa8f81f554f209050878" to "bf3a2674fb48b4fb00c3722e09ccac93f12a0554".
Changed file "g.class" from "0e8d7aeec56bf8d12455cec33a2ea946fc3157d5" to "87e7f6e4aa382e2859075076cbf6ef65bb75aa4e".
Changed file "ga.class" from "908e1f001dd24e40426e0d416d63ae8a6259efc4" to "8ee9a4bda422e6fad338e7219496b3e44fb4609a".
Changed file "gb.class" from "0604c809965e7e90cb68a62686035290a37046d8" to "925678dd43e80cbb81dab0db60c7cd2314217744".
Changed file "gc.class" from "f66dde9a432444a4a63b30894182939c6adaf947" to "673cf3346e08c50ed805108609891c60859abba4".
Changed file "gd.class" from "f89b28d3d9becf65b8ffe1d7bc1c3c1b2c081d4c" to "d25a51082e60ff979ef6d437bf07909f8123838a".
Changed file "ge.class" from "6a63ea522c8762cf628fb5169e2c3419d4c748e5" to "8b070ce22324f4edfa6e39c9a9f45e99c35e8a0a".
Changed file "gf.class" from "be23f0fa514917b06ef8e6456d2fa5a8367e15a0" to "2c73a50fdd901a16c5440a8316bb22b1e98e0f15".
Changed file "gg.class" from "408b091d577bc09ff1cacc3c944d4e5429ecb45b" to "7777bc6025bdc9639a3818195ee3033040793ee2".
Changed file "gh.class" from "14d832f461490d3f9c0d018b49cbee34459045f8" to "c21b4610082f443bf923c3164d2938661c152d98".
Changed file "gi.class" from "a6a2f7100576961f43baae5abf72823a97bd5846" to "1c6a37a5bb832bd85ba60033bbe6be89a5286fcf".
Changed file "gj.class" from "7339abfde75e0af8a90e2be76c9912fae8dcd9ca" to "30096880f391f760f41578a3579dbdc13eb269d0".
Changed file "gk.class" from "9c6f234f7e3e3302d3d8fc7b3421847d0cd8498c" to "07ac561c9c9d054a92d4168955834112a1d99b66".
Changed file "gl.class" from "8f0ff1cb191dc812292af7ffd3e2dd37e9368989" to "7b8bbb453a77e2f11e51e6129ddc2e357d585147".
Changed file "gm.class" from "97e300d410f6f05af38665e6db71ba615b95e3fc" to "ed3e48d31d8af951cb656eb277d52dbef33df156".
Changed file "gn.class" from "127999a45818b275b0b9579fefce620ff2064d92" to "9f2f067d604643692380f01c43ac3c8e3f444ba7".
Changed file "go.class" from "2670a87037147286b886e130f64303f66c12ed36" to "4e3ea05e859c21004c5e153b7c189ac231bd4e59".
Changed file "gp.class" from "9ae04371da55a3fb238b92aa585c5371279741d7" to "091c0bb8568a32df258f1e9b4d65b4d4b52a4db4".
Changed file "gq.class" from "2214ba73410129574f81c8a957c50e9003fd0cae" to "4dcb7d574bb5bf06162489d44a70a35dedff7463".
Changed file "gr.class" from "500799f41393b0b013f0a56fe7beca320eb28122" to "529263652c12f0033e1f9e7d47bd6ceacb5ed167".
Changed file "gs.class" from "0c75d37d4c84da3b97a90bba079ebb8a99e09585" to "6f47be98f354e425ea628d3e047bc8112b3c2268".
Changed file "gt.class" from "0a98e015ffde6f8bba01110e09c4ca47f1ba2bc8" to "cb619cf4bfaef9e8d88f1ea2e5880e5b44dba1d4".
Changed file "gu.class" from "096b36b8537e8c9cf8496cd1387a2d3280206ef6" to "f399e8d994e30e325fc5d72e4650bc268792389a".
Changed file "gui/items.png" from "334049042605fb3a83a89c16b246da867504ab1d" to "26ce0e558c2870c6c4883d853ff07a8790ac9468".
Changed file "gv.class" from "673d90a7e7b013878a32aa52ca77184a417a719a" to "3a7f51b1fcf448f7f0bb529c2143f5b6ab355643".
Changed file "gw.class" from "669b278b64ad4f64d68fa718805912f758ccbcd9" to "c75f92cc6edf2d9aa061b671afb6ca3e6f12d516".
Changed file "gx.class" from "10d74058cf4c1d7aa5ae410bd2a0a75b208d2087" to "b034e76feee567cdf83476fc7b45994d74529bda".
Changed file "gy.class" from "06db45842be875a276638be834e3029cf52ec145" to "f4321db1bc68bc5d2de41f4195340697caf78ce1".
Changed file "gz.class" from "f62d12d6e1dd3cd923216f6747d6f73e9aa9f3a0" to "593605d74f3ffbefdb338e849cd3bcd03dd9df27".
Changed file "h.class" from "bee7e78963c40c6fb6689b4d6be18b679fb997d5" to "224dc157c5a9a9a2e5a9d882a559d847d3cac93d".
Changed file "ha.class" from "aa1b952871a0127e5dc123a47079921e24344a1f" to "376467f2cfa87a8e5768b8a179925c5531beae91".
Changed file "hb.class" from "93dc9927bafdcf5ff2661e0ce8ce21fc72b2a3d0" to "bdf4893ea51defc994d84d3aeb22a3a279e981d9".
Changed file "hc.class" from "19f6c0cd6ba05d98a6e3a5d29b30ab01784ec0c2" to "ba44b085aa712952f1e67fff18ac7178739ecb6c".
