Difference of "all_files" between "b1.0.2" and "b1.1-1245".
Changed file "fd.class" from "889e6545be6413a079230a96004053bd4e14b181" to "e35ae17afcbe2f18a3bd371bb9f46cfc041a4fca".
Changed file "fe.class" from "72d37e3177d78454b149cfad1129f6caeedf08ad" to "46a9d9d14738536995fc0c552a1611a8bf738ea3".
Changed file "ff.class" from "50120b0846d27fd2325b28e5827deda5d016fa28" to "d19fc288590919c4ac59a70e9d36c95b1e0fd018".
Changed file "fg.class" from "3432bb1bff6e1ba650568720cd9612abb2787dcb" to "9ebe36d07c1ef0ed416b2191a1b7d50a96a3ac59".
Changed file "fh.class" from "64c6de6cd0d9331ebbe2b9f09d2f4f0424d5e847" to "397e8681f17097dc6aea65d576744c6a381aeb66".
Changed file "fi.class" from "c730acf210c95c78157b971ae558e7808a72a52e" to "29bc5b332541e69a44cc8ae8248129dba2e12925".
Changed file "fj.class" from "772ee64700452bd29784a20371c295f46412547e" to "91e87f25deac8909e8cddbe4af23f7f304d97381".
Changed file "fk.class" from "afa8c41c77445758002461cadd38c92038adfae4" to "80b6f0a579648b1c1ef2475f57edc2787ce275c4".
Changed file "fl.class" from "7091d03a78c97caff4e8a034fbe8e944e36e332a" to "d07700cff359bf72cd0912da0dcd7cb63abf0b55".
Changed file "fm.class" from "b0c4d0aa061ca34dbfde6cb28765ae6c0eb44d30" to "35c6023eb46fd8cf3a29e00f9e7572c8f737b87e".
Changed file "fn.class" from "1cdebd97b2f8ad4de2ab9c096ae763a3647bef56" to "c656f793bf3117f89933b660ad170b66cecd8acb".
Changed file "fo.class" from "3bb4810776b5af343526ce434414df11218732c2" to "092fd789f3dbf6a14c40db53459d659e27f90d6a".
Changed file "fp.class" from "0a1c6bd7218e8727a6d2d302e1298dc30580acc0" to "a4d27fbd3d6190f63cee4dfda9480c1782156e2a".
Changed file "fq.class" from "c73689bc4e2b7892b61830b34c952423c5a6f186" to "33a3cc0d17128606b0a2c7c9c6e13999f5123118".
Changed file "fr.class" from "4a02f0dfe5fc1333a89e034d0332cd0edd44a3d4" to "d7ae9ac45a6c141c2511bfe7ed33cc22d4919f59".
